Sample_ID,short_name_ID,sample_category,protocol,Sample_type,Mean_read_length,Mean_read_quality,Median_read_length,Median_read_quality,Number_of_reads,Read_length_N50,STDEV_read_length,Total_bases,>Q10,>Q15,>Q20,>Q25,>Q30
NTC_b_1_NanoComp-report,NTC_b_1,NTC blood,eSISPA,Blood Sample,240.0,9.8,240.0,9.8,1.0,240.0,0.0,240,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_b_2_NanoComp-report,NTC_b_2,NTC blood,eSISPA,Blood Sample,612.2,12.0,456.0,12.1,3607.0,1026.0,544.9,2208088,3018 (83.7%) 2.1Mb,906 (25.1%) 1.0Mb,18 (0.5%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_bi_NanoComp-report,NTC_bi,NTC blood,Standard SISPA,Blood Sample,599.3,15.6,554.0,16.4,38742.0,630.0,242.0,23217002,38464 (99.3%) 23.1Mb,26969 (69.6%) 16.4Mb,4319 (11.1%) 2.4Mb,247 (0.6%) 0.1Mb,18 (0.0%) 0.0Mb
NTC_s_1_NanoComp-report,NTC_s_1,NTC swab,PtCl4 eSISPA,Oral swab,444.0,11.5,260.0,11.5,14867.0,655.0,417.5,6601468,12276 (82.6%) 5.9Mb,1713 (11.5%) 1.9Mb,39 (0.3%) 0.1Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_s_2_NanoComp-report,NTC_s_2,NTC swab,PtCl4 eSISPA,Oral swab,713.7,14.4,649.0,15.0,5767.0,762.0,322.9,4115715,5673 (98.4%) 4.1Mb,2855 (49.5%) 2.3Mb,33 (0.6%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_si_NanoComp-report,NTC_si,NTC swab,Standard SISPA,Oral swab,442.7,11.3,273.0,11.4,43993.0,643.0,298.0,19477501,33154 (75.4%) 16.9Mb,4852 (11.0%) 3.7Mb,14 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_b_1_NanoComp-report,NTC_b_1,NTC blood,PtCl4 eSISPA,Blood Sample,240.0,9.8,240.0,9.8,1.0,240.0,0.0,240,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_b_2_NanoComp-report,NTC_b_2,NTC blood,PtCl4 eSISPA,Blood Sample,612.2,12.0,456.0,12.1,3607.0,1026.0,544.9,2208088,3018 (83.7%) 2.1Mb,906 (25.1%) 1.0Mb,18 (0.5%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_s_1_NanoComp-report,NTC_s_1,NTC swab,eSISPA,Oral swab,444.0,11.5,260.0,11.5,14867.0,655.0,417.5,6601468,12276 (82.6%) 5.9Mb,1713 (11.5%) 1.9Mb,39 (0.3%) 0.1Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
NTC_s_2_NanoComp-report,NTC_s_2,NTC swab,eSISPA,Oral swab,713.7,14.4,649.0,15.0,5767.0,762.0,322.9,4115715,5673 (98.4%) 4.1Mb,2855 (49.5%) 2.3Mb,33 (0.6%) 0.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_004_NanoComp-report,PAN_004,Sample,eSISPA,Blood Sample,689.5,14.4,644.0,15.0,587711.0,714.0,274.5,405216518,579637 (98.6%) 400.3Mb,295377 (50.3%) 222.5Mb,4530 (0.8%) 4.7Mb,2 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_004_T_NanoComp-report,PAN_004,Sample,PtCl4 eSISPA,Blood Sample,1115.0,15.4,1043.0,16.3,230424.0,1197.0,448.6,256927051,227820 (98.9%) 254.1Mb,161080 (69.9%) 185.6Mb,9023 (3.9%) 12.5Mb,9 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_006_NanoComp-report,PAN_006,Sample,eSISPA,Blood Sample,660.6,14.3,620.0,14.9,419243.0,691.0,259.6,276953894,413022 (98.5%) 273.2Mb,205417 (49.0%) 148.3Mb,3115 (0.7%) 3.0Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_006_T_NanoComp-report,PAN_006,Sample,PtCl4 eSISPA,Blood Sample,588.2,14.0,499.0,14.6,9655.0,555.0,298.5,5678883,9426 (97.6%) 5.6Mb,4035 (41.8%) 2.8Mb,55 (0.6%) 0.1Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_007_NanoComp-report,PAN_007,Sample,eSISPA,Blood Sample,568.5,14.1,519.0,14.6,478709.0,611.0,236.3,272169647,471556 (98.5%) 268.7Mb,200027 (41.8%) 130.7Mb,2207 (0.5%) 2.1Mb,2 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_007_T_NanoComp-report,PAN_007,Sample,PtCl4 eSISPA,Blood Sample,648.3,14.0,487.0,14.8,11157.0,758.0,409.1,7233471,10703 (95.9%) 7.1Mb,5270 (47.2%) 4.3Mb,238 (2.1%) 0.3Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_017_NanoComp-report,PAN_017,Sample,eSISPA,Blood Sample,718.5,14.4,656.0,15.0,8874.0,736.0,303.6,6376333,8733 (98.4%) 6.3Mb,4503 (50.7%) 3.5Mb,80 (0.9%) 0.1Mb,0 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_017_T_NanoComp-report,PAN_017,Sample,PtCl4 eSISPA,Blood Sample,1078.1,15.3,1015.0,16.2,88854.0,1156.0,422.1,95797194,87905 (98.9%) 94.9Mb,61060 (68.7%) 68.9Mb,2894 (3.3%) 4.1Mb,1 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
RDC_INC_PAN_b_018_NanoComp-report,PAN_018,Sample,eSISPA,Blood Sample,736.6,14.6,670.0,15.2,143147.0,757.0,313.6,105449080,141495 (98.8%) 104.3Mb,75666 (52.9%) 61.4Mb,1558 (1.1%) 1.9Mb,1 (0.0%) 0.0Mb,0 (0.0%) 0.0Mb
