sample,total_reads,mapped_reads,fraction_total_reads,short_name_id,sample_type,reads_types,reads_taxa,protocol
NTC_b_1,1,0,0.000,NTC_b_1,Blood samples,Host reads,,eSISPA
NTC_b_2,3607,1247,0.346,NTC_b_2,Blood samples,Host reads,,eSISPA
NTC_bi,38743,34627,0.894,NTC_bi,Blood samples,Host reads,,Standard SISPA
NTC_s_1,14867,755,0.051,NTC_s_1,Oral swab samples,Host reads,,eSISPA
NTC_s_2,5767,4150,0.720,NTC_s_2,Oral swab samples,Host reads,,eSISPA
NTC_si,43993,12773,0.290,NTC_si,Oral swab samples,Host reads,,Standard SISPA
RDC_INC_PAN_b_004_T,230424,227644,0.988,PAN004,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_004,587711,569618,0.969,PAN004,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_b_006_T,9655,9044,0.937,PAN006,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_006,419243,406664,0.970,PAN006,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_b_007_T,11157,9355,0.838,PAN007,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_007,478709,430613,0.900,PAN007,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_b_017_T,88854,87451,0.984,PAN017,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_017,8874,8611,0.970,PAN017,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_b_018_T,29760,29018,0.975,PAN018,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_018,143147,139829,0.977,PAN018,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_b_019_T,132253,130543,0.987,PAN019,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_019,377429,366585,0.971,PAN019,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_b_020_T,213864,210780,0.986,PAN020,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_020,313605,306233,0.976,PAN020,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_b_026_T,209353,206280,0.985,PAN026,Blood samples,Host reads,,PtCl4 eSISPA
RDC_INC_PAN_b_026,355819,346056,0.973,PAN026,Blood samples,Host reads,,eSISPA
RDC_INC_PAN_bi_004,397332,389828,0.981,PAN004,Blood samples,Host reads,,Standard SISPA
RDC_INC_PAN_bi_006,477533,458127,0.959,PAN006,Blood samples,Host reads,,Standard SISPA
RDC_INC_PAN_bi_007,792622,780973,0.985,PAN007,Blood samples,Host reads,,Standard SISPA
RDC_INC_PAN_bi_017,28838,28040,0.972,PAN017,Blood samples,Host reads,,Standard SISPA
RDC_INC_PAN_bi_018,57836,56496,0.977,PAN018,Blood samples,Host reads,,Standard SISPA
