tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_ID,short_name_id,protocol
2974251,2,2974251,Segatella,,bacteria,FALSE,1450.13,6042,4,,,85.2556,585.25,10^-172.453,,,,,,,,,[28135],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
2948910,2,2948910,Skatevirus,,viruses,FALSE,133.685,557,1,,,84.988,433,10^-194.357,,,,,,,,,[2956461],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
2948642,2,2948642,Buchananvirus,,viruses,FALSE,151.685,632,1,,,91.322,484,10^-260.869,,,,,,,,,[2955547],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,759.866,3166,3,,,93.4484,900,10^-159.722,,,,,,,,,[1382],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1866885,2,1866885,Mycolicibacterium,,bacteria,FALSE,235.208,980,1,,,100,84,10^-16.2762,,,,,,,,,[59813],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1331051,2,1331051,Saccharimonas,,bacteria,FALSE,388.333,1618,1,,,81.075,428,10^-168.974,,,,,,,,,[1917697],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
1164882,2,1164882,Lachnoanaerobaculum,,bacteria,FALSE,3834.13,15975,16,,,88.9126,778.25,10^-199.719,,,,,,,,,"[2490855, 617123]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
416916,2,416916,Aggregatibacter,,bacteria,FALSE,458.415,1910,2,,,93.2551,598.5,10^-170.409,,,,,,,,,[2820817],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
195950,2,195950,Tannerella,,bacteria,FALSE,485.776,2024,3,,,92.9984,483,10^-172.503,,,,,,,,,[712710],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
117563,2,117563,Granulicatella,,bacteria,FALSE,4407.03,18362,15,,,90.4154,836.867,10^-226.317,,,,,,,,,"[137732, 46124]",0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
111500,2,111500,Allomuricauda,,bacteria,FALSE,268.809,1120,1,,,83.146,89,10^-27.6152,,,,,,,,,[254955],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA
