"tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","nt_bpm","nt_base_count","nt_count","nt_contigs","nt_contig_b","nt_percent_identity","nt_alignment_length","nt_e_value","nr_bpm","nr_base_count","nr_count","nr_contigs","nr_contig_b","nr_percent_identity","nr_alignment_length","nr_e_value","species_tax_ids","known_pathogen","sample_ID","short_name_id","protocol","mean_nt_bpm","sd_nt_bpm","z_score"
2979332,2,"2979332","Prescottella","","bacteria",FALSE,2.48035,1256,3,NA,NA,88.9827,82,"10^-30.1756",NA,NA,NA,NA,NA,NA,NA,"","[1323361]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",106.427,150.510506802681,-0.679468719183098
2974257,2,"2974257","Hoylesella","","bacteria",FALSE,2.15056,1089,1,NA,NA,97.059,918,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[28127]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,3.15056
2974251,2,"2974251","Segatella","","bacteria",FALSE,23.8022,12053,12,NA,NA,92.4385,730.083,"10^-256.178",NA,NA,NA,NA,NA,NA,NA,"","[28135]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,24.8022
2948910,2,"2948910","Skatevirus","","viruses",FALSE,68.4288,34651,43,NA,NA,90.2172,525.512,"10^-187.182",NA,NA,NA,NA,NA,NA,NA,"","[3003234, 2956461, 2956460, 2956459, 2956457, 2956456, 2861004]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,69.4288
2948906,2,"2948906","Shuimuvirus","","viruses",FALSE,13.3852,6778,8,NA,NA,88.888,631.375,"10^-255.752",NA,NA,NA,NA,NA,NA,NA,"","[2956444]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,14.3852
2948900,2,"2948900","Segzyvirus","","viruses",FALSE,0.787945,399,1,NA,NA,87.2,250,"10^-114.312",NA,NA,NA,NA,NA,NA,NA,"","[3060695]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,1.787945
2948889,2,"2948889","Saltrevirus","","viruses",FALSE,13.3279,6749,7,NA,NA,88.9571,762.143,"10^-296.169",NA,NA,NA,NA,NA,NA,NA,"","[2956388]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,14.3279
2948810,2,"2948810","Macdonaldcampvirus","","viruses",FALSE,12.617,6389,9,NA,NA,91.8603,519,"10^-222.357",NA,NA,NA,NA,NA,NA,NA,"","[3027707, 3027699, 2956146, 2956145]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,13.617
2948678,2,"2948678","Deseoctovirus","","viruses",FALSE,15.6384,7919,9,NA,NA,91.1008,643.444,"10^-239.117",NA,NA,NA,NA,NA,NA,NA,"","[2955752, 2955751, 2939123]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,16.6384
2948655,2,"2948655","Cedarrivervirus","","viruses",FALSE,28.678,14522,15,NA,NA,92.0832,682.133,"10^-198.576",NA,NA,NA,NA,NA,NA,NA,"","[2955594]",0,"RDC_INC_PAN_b_020_T_775841_taxon_report","PAN020","PtCl4 eSISPA",0,0,29.678
