"tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","nt_bpm","nt_base_count","nt_count","nt_contigs","nt_contig_b","nt_percent_identity","nt_alignment_length","nt_e_value","nr_bpm","nr_base_count","nr_count","nr_contigs","nr_contig_b","nr_percent_identity","nr_alignment_length","nr_e_value","species_tax_ids","known_pathogen","sample_ID","short_name_id","protocol","mean_nt_bpm","sd_nt_bpm","z_score"
2974251,2,"2974251","Segatella","","bacteria",FALSE,1450.13,6042,4,NA,NA,85.2556,585.25,"10^-172.453",NA,NA,NA,NA,NA,NA,NA,"","[28135]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",442.086,625.204016935272,1.61136622045064
2948910,2,"2948910","Skatevirus","","viruses",FALSE,133.685,557,1,NA,NA,84.988,433,"10^-194.357",NA,NA,NA,NA,NA,NA,NA,"","[2956461]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,134.685
2948642,2,"2948642","Buchananvirus","","viruses",FALSE,151.685,632,1,NA,NA,91.322,484,"10^-260.869",NA,NA,NA,NA,NA,NA,NA,"","[2955547]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,152.685
2767353,2,"2767353","Lancefieldella","","bacteria",FALSE,759.866,3166,3,NA,NA,93.4484,900,"10^-159.722",NA,NA,NA,NA,NA,NA,NA,"","[1382]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,760.866
1866885,2,"1866885","Mycolicibacterium","","bacteria",FALSE,235.208,980,1,NA,NA,100,84,"10^-16.2762",NA,NA,NA,NA,NA,NA,NA,"","[59813]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",785.171,554.255103721502,-0.988668084850854
1331051,2,"1331051","Saccharimonas","","bacteria",FALSE,388.333,1618,1,NA,NA,81.075,428,"10^-168.974",NA,NA,NA,NA,NA,NA,NA,"","[1917697]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,389.333
1164882,2,"1164882","Lachnoanaerobaculum","","bacteria",FALSE,3834.13,15975,16,NA,NA,88.9126,778.25,"10^-199.719",NA,NA,NA,NA,NA,NA,NA,"","[2490855, 617123]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",1461.0745,637.608894135216,3.71754217926274
416916,2,"416916","Aggregatibacter","","bacteria",FALSE,458.415,1910,2,NA,NA,93.2551,598.5,"10^-170.409",NA,NA,NA,NA,NA,NA,NA,"","[2820817]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",186.602,263.895079165944,1.0298907811311
195950,2,"195950","Tannerella","","bacteria",FALSE,485.776,2024,3,NA,NA,92.9984,483,"10^-172.503",NA,NA,NA,NA,NA,NA,NA,"","[712710]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",2830.13,4002.40822927897,-0.585339756975533
117563,2,"117563","Granulicatella","","bacteria",FALSE,4407.03,18362,15,NA,NA,90.4154,836.867,"10^-226.317",NA,NA,NA,NA,NA,NA,NA,"","[137732, 46124]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",1282.785,0.398371685740873,2234.91724830241
111500,2,"111500","Allomuricauda","","bacteria",FALSE,268.809,1120,1,NA,NA,83.146,89,"10^-27.6152",NA,NA,NA,NA,NA,NA,NA,"","[254955]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",0,0,269.809
59732,2,"59732","Chryseobacterium","","bacteria",FALSE,679.943,2833,2,NA,NA,85.14,193.5,"10^-77.7213",NA,NA,NA,NA,NA,NA,NA,"","[2929799, 536441]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",136.6715,193.282688889874,2.80144105020345
55193,2,"55193","Malassezia","","eukaryota",FALSE,111.604,465,1,NA,NA,96.296,324,"10^-192.425",NA,NA,NA,NA,NA,NA,NA,"","[76775]",0,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",737.79,1043.39262418325,-0.59861204064795
46123,2,"46123","Abiotrophia","","bacteria",FALSE,790.587,3294,3,NA,NA,91.9417,789.333,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[46125]",1,"RDC_INC_PAN_s_020_775855_taxon_report","PAN020","eSISPA",252.8365,89.0487734690003,5.98287438290836
