"tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","nt_bpm","nt_base_count","nt_count","nt_contigs","nt_contig_b","nt_percent_identity","nt_alignment_length","nt_e_value","nr_bpm","nr_base_count","nr_count","nr_contigs","nr_contig_b","nr_percent_identity","nr_alignment_length","nr_e_value","species_tax_ids","known_pathogen","sample_ID","short_name_id","protocol","z_score"
469322,2,"469322","Steroidobacter","","bacteria",FALSE,15.2419,716,1,NA,NA,90.957,575,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,NA,"[465721]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",16.2419
366614,2,"366614","Haematobacter","","bacteria",FALSE,17.4345,819,1,NA,NA,94.9771,657,"10^-146.283",NA,NA,NA,NA,NA,NA,NA,NA,"[195105]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",18.4345
287191,2,"287191","Sesia","","eukaryota",FALSE,11.4953,540,1,NA,NA,80.435,322,"10^-121.064",NA,NA,NA,NA,NA,NA,NA,NA,"[748215]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",12.4953
91737,2,"91737","Aricia","","eukaryota",FALSE,9.5794,450,1,NA,NA,81.91,199,"10^-73.9263",NA,NA,NA,NA,NA,NA,NA,NA,"[91739]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",10.5794
83677,2,"83677","Thermobifida","","bacteria",FALSE,12.5384,589,1,NA,NA,92.925,424,"10^-236.224",NA,NA,NA,NA,NA,NA,NA,NA,"[53522]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",13.5384
60957,2,"60957","Piscicola","","eukaryota",FALSE,30.2283,1420,2,NA,NA,97.382,560,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,NA,"[60958]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",31.2283
55709,2,"55709","Cerastoderma","","eukaryota",FALSE,15.9231,748,1,NA,NA,82.927,164,"10^-60.9728",NA,NA,NA,NA,NA,NA,NA,NA,"[55710]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",16.9231
52939,2,"52939","Tridacna","","eukaryota",FALSE,9.21751,433,1,NA,NA,98.947,285,"10^-178.071",NA,NA,NA,NA,NA,NA,NA,NA,"[80833]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",10.21751
43668,2,"43668","Brachybacterium","","bacteria",FALSE,11.8997,559,1,NA,NA,92.248,387,"10^-210.875",NA,NA,NA,NA,NA,NA,NA,NA,"[1862056]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",12.8997
5820,2,"5820","Plasmodium","","eukaryota",FALSE,1776.66,83460,123,NA,NA,95.4441,493.618,"10^-229.303",NA,NA,NA,NA,NA,NA,NA,NA,"[880534, 5858, 5854, 5833]",2,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",169.422924990662
5761,2,"5761","Naegleria","","eukaryota",FALSE,107.353,5043,9,NA,NA,96.6573,377.778,"10^-190.11",NA,NA,NA,NA,NA,NA,NA,NA,"[5763]",1,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",-29.690816992199
5052,2,"5052","Aspergillus","","eukaryota",FALSE,11.5591,543,1,NA,NA,94.118,391,"10^-223.221",NA,NA,NA,NA,NA,NA,NA,NA,"[5061]",1,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",12.5591
1839,2,"1839","Nocardioides","","bacteria",FALSE,17.8815,840,1,NA,NA,97.065,477,"10^-294.498",NA,NA,NA,NA,NA,NA,NA,NA,"[252230]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",18.8815
1386,2,"1386","Bacillus","","bacteria",FALSE,15.029,706,1,NA,NA,92.924,537,"10^-302.681",NA,NA,NA,NA,NA,NA,NA,NA,"[630209]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",16.029
1298,2,"1298","Deinococcus","","bacteria",FALSE,16.5191,776,1,NA,NA,96.405,612,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,NA,"[2080419]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",17.5191
1269,2,"1269","Micrococcus","","bacteria",FALSE,30.9521,1454,1,NA,NA,94.8596,1245,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,NA,"[1270]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",-155.351934169978
469,2,"469","Acinetobacter","","bacteria",FALSE,12.07,567,1,NA,NA,91.858,393,"10^-212.24",NA,NA,NA,NA,NA,NA,NA,NA,"[2079596]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",-0.517770604425195
286,2,"286","Pseudomonas","","bacteria",FALSE,11.9849,563,1,NA,NA,96.6463,328,"10^-33.1221",NA,NA,NA,NA,NA,NA,NA,NA,"[2983246]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",-125.247088246698
-200,2,"-200","all taxa with neither family nor genus classification","","",FALSE,26.8862,1263,2,NA,NA,93.1595,475,"10^-266.792",NA,NA,NA,NA,NA,NA,NA,NA,"[77133]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",0.810742975462634
-200687329,2,"-200687329","non-genus-specific reads in family Anelloviridae","","viruses",FALSE,14.1136,663,1,NA,NA,85.714,497,"10^-229.979",NA,NA,NA,NA,NA,NA,NA,NA,"[432261]",0,"RDC_INC_PAN_bi_018_775876_taxon_report","PAN018","Standard SISPA",-6.61160882368213
2714592,2,"2714592","Crateriforma","","bacteria",FALSE,70.4382,1711,3,NA,NA,85.1808,332.333,"10^-61.2163",NA,NA,NA,NA,NA,NA,NA,NA,"[2527996]",0,"RDC_INC_PAN_bi_026_775879_taxon_report","PAN026","Standard SISPA",71.4382
1920762,2,"1920762","Litunavirus","","viruses",TRUE,9495.9,230663,424,NA,NA,98.1335,67.3538,"10^-25.728",NA,NA,NA,NA,NA,NA,NA,NA,"[3058783]",0,"RDC_INC_PAN_bi_026_775879_taxon_report","PAN026","Standard SISPA",9496.9
556257,2,"556257","Pseudolabrys","","bacteria",FALSE,36.5982,889,1,NA,NA,88.808,411,"10^-205.359",NA,NA,NA,NA,NA,NA,NA,NA,"[2562284]",0,"RDC_INC_PAN_bi_026_775879_taxon_report","PAN026","Standard SISPA",37.5982
469322,2,"469322","Steroidobacter","","bacteria",FALSE,31.4111,763,1,NA,NA,91.438,619,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,NA,"[465721]",0,"RDC_INC_PAN_bi_026_775879_taxon_report","PAN026","Standard SISPA",32.4111
295994,2,"295994","Anaspis","","eukaryota",FALSE,19.7194,479,1,NA,NA,93.023,129,"10^-63.1356",NA,NA,NA,NA,NA,NA,NA,NA,"[295995]",0,"RDC_INC_PAN_bi_026_775879_taxon_report","PAN026","Standard SISPA",20.7194
198633,2,"198633","Eristalis","","eukaryota",FALSE,19.9664,485,1,NA,NA,83.105,219,"10^-86.2361",NA,NA,NA,NA,NA,NA,NA,NA,"[1572519]",0,"RDC_INC_PAN_bi_026_775879_taxon_report","PAN026","Standard SISPA",20.9664
104456,2,"104456","Ecliptopera","","eukaryota",FALSE,16.8788,410,1,NA,NA,92.5,120,"10^-56.9914",NA,NA,NA,NA,NA,NA,NA,NA,"[104457]",0,"RDC_INC_PAN_bi_026_775879_taxon_report","PAN026","Standard SISPA",17.8788
