"tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","nt_bpm","nt_base_count","nt_count","nt_contigs","nt_contig_b","nt_percent_identity","nt_alignment_length","nt_e_value","nr_bpm","nr_base_count","nr_count","nr_contigs","nr_contig_b","nr_percent_identity","nr_alignment_length","nr_e_value","species_tax_ids","known_pathogen","sample_ID","short_name_id","protocol","z_score"
3044785,2,"3044785","Paclarkvirus","","viruses",FALSE,2.7771,554,1,NA,NA,87.047,386,"10^-182.742",NA,NA,NA,NA,NA,NA,NA,"","[3060518]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",3.7771
2974257,2,"2974257","Hoylesella","","bacteria",FALSE,3.94008,786,1,NA,NA,94.703,623,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[28127]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",4.94008
2974251,2,"2974251","Segatella","","bacteria",FALSE,10.7876,2152,2,NA,NA,85.0487,894,"10^-174.492",NA,NA,NA,NA,NA,NA,NA,"","[28135]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",-8.51848742657559
2948910,2,"2948910","Skatevirus","","viruses",FALSE,38.7742,7735,10,NA,NA,90.9219,573.5,"10^-221.641",NA,NA,NA,NA,NA,NA,NA,"","[2956461, 2956459, 2956457, 2956456]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",39.7742
2948906,2,"2948906","Shuimuvirus","","viruses",FALSE,14.7778,2948,3,NA,NA,90.0584,830.333,"10^-233.805",NA,NA,NA,NA,NA,NA,NA,"","[2956444]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",15.7778
2948810,2,"2948810","Macdonaldcampvirus","","viruses",FALSE,3.57414,713,1,NA,NA,95.495,555,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[3027699]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",4.57414
2948649,2,"2948649","Caminolopintovirus","","viruses",FALSE,18.7078,3732,5,NA,NA,91.3684,578.6,"10^-261.15",NA,NA,NA,NA,NA,NA,NA,"","[2955571]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",19.7078
2948642,2,"2948642","Buchananvirus","","viruses",FALSE,10.1109,2017,2,NA,NA,88.399,695.5,"10^-282.524",NA,NA,NA,NA,NA,NA,NA,"","[2955547]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",11.1109
2895509,2,"2895509","Metamycoplasma","","bacteria",FALSE,6.6069,1318,1,NA,NA,93.698,603,"10^-307.653",NA,NA,NA,NA,NA,NA,NA,"","[2098]",1,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",7.6069
2805645,2,"2805645","Pedococcus","","bacteria",FALSE,3.21823,642,1,NA,NA,95.218,481,"10^-284.888",NA,NA,NA,NA,NA,NA,NA,"","[443156]",0,"RDC_INC_PAN_si_020_775892_taxon_report","PAN020","Standard SISPA",-18.1063437539438
