tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_ID,short_name_id,protocol,mean_nt_bpm,sd_nt_bpm,z_score,sample_type
1883,2,1883,Streptomyces,,bacteria,FALSE,51722.9,215505,228,NA,NA,99.6967,64.2763,10^-22.7589,NA,NA,NA,NA,NA,NA,NA,,[319947],0,RDC_INC_PAN_s_020_775855_taxon_report,PAN020,eSISPA,0,0,51723.9,oral swab
1883,2,1883,Streptomyces,,bacteria,FALSE,43198.3,21607928,24126,15,4017768,99.4136,88.7067,10^-24.5055,NA,NA,NA,NA,NA,NA,NA,,[2996051],0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,43199.3,oral swab
570,2,570,Klebsiella,,bacteria,FALSE,15469.1,120980,553,NA,NA,96.1798,66.5497,10^-29.394,NA,NA,NA,NA,NA,NA,NA,,[1463165],0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,0,0,15470.1,oral swab
5502,2,5502,Curvularia,,eukaryota,FALSE,581379,4546810,18660,NA,NA,99.4483,86.1843,10^-23.3367,NA,NA,NA,NA,NA,NA,NA,,[95742],0,RDC_INC_PAN_s_019_775853_taxon_report,PAN019,eSISPA,38.02185,53.77101594,10614.04409,oral swab
117563,2,117563,Granulicatella,,bacteria,FALSE,12419.5,6212263,6501,5,1865888,90.7032,739.73,10^-200.478,257.272,128688,85,1,128688,97.1,171,10^-94.0301,"[3050606, 137732, 46124]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,1282.785,0.398371686,7964.774397,oral swab
57138,2,57138,Calonectria,,eukaryota,FALSE,7117.96,3075714,4012,2,77714,98.9523,71.1231,10^-29.1477,NA,NA,NA,NA,NA,NA,NA,,[182845],0,RDC_INC_PAN_s_015_775847_taxon_report,PAN015,eSISPA,0,0,7118.96,oral swab
1279,2,1279,Staphylococcus,,bacteria,FALSE,4329.13,1645960,2291,NA,NA,97.7653,536.695,10^-262.158,NA,NA,NA,NA,NA,NA,NA,,"[2699836, 283734, 29385, 1290, 1286, 1283, 1282, 1280]",5,RDC_INC_PAN_s_013_775845_taxon_report,PAN013,eSISPA,0,0,4330.13,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,3979.18,533917,691,NA,NA,91.5804,587.899,10^-154.695,NA,NA,NA,NA,NA,NA,NA,,[1382],0,RDC_INC_PAN_s_018_T_775852_taxon_report,PAN018,PtCl4 eSISPA,0,0,3980.18,oral swab
2767353,2,2767353,Lancefieldella,,bacteria,FALSE,3587.61,332383,546,NA,NA,92.673,432.156,10^-197.378,NA,NA,NA,NA,NA,NA,NA,,[1382],0,RDC_INC_PAN_s_018_775851_taxon_report,PAN018,eSISPA,0,0,3588.61,oral swab
2093823,2,2093823,Nanosynbacter,,bacteria,FALSE,3522.53,1761977,1599,2,886822,96.051,849.336,10^-191.965,1772.93,886822,607,2,886822,98.7606,200.825,10^-124.296,"[2933970, 2902628, 2899133, 2572088, 2093824]",0,RDC_INC_PAN_s_017_775849_taxon_report,PAN017,eSISPA,0,0,3523.53,oral swab
